"evento","termino","rango","frecuencia"
"incendio","ambulance",2014-01-23 18:45:00,11
"incendio","ambulance",2014-01-23 20:00:00,1
"incendio","apartment",2014-01-23 18:30:00,9
"incendio","apartment",2014-01-23 18:45:00,34
"incendio","apartment",2014-01-23 19:00:00,1
"incendio","apartment",2014-01-23 21:30:00,11
"incendio","building",2014-01-23 18:30:00,11
"incendio","building",2014-01-23 18:45:00,51
"incendio","building",2014-01-23 19:00:00,12
"incendio","building",2014-01-23 20:00:00,1
"incendio","building",2014-01-23 20:30:00,13
"incendio","building",2014-01-23 21:30:00,5
"incendio","collapsed",2014-01-23 20:30:00,8
"incendio","collapsed",2014-01-23 21:00:00,5
"incendio","control",2014-01-23 18:45:00,1
"incendio","control",2014-01-23 19:00:00,9
"incendio","control",2014-01-23 19:15:00,13
"incendio","control",2014-01-23 20:15:00,3
"incendio","control",2014-01-23 20:30:00,9
"incendio","control",2014-01-23 20:45:00,9
"incendio","control",2014-01-23 21:15:00,12
"incendio","crowd",2014-01-23 18:45:00,7
"incendio","crowd",2014-01-23 19:15:00,8
"incendio","department",2014-01-23 18:30:00,6
"incendio","department",2014-01-23 18:45:00,22
"incendio","department",2014-01-23 19:00:00,2
"incendio","department",2014-01-23 19:15:00,2
"incendio","department",2014-01-23 21:15:00,2
"incendio","department",2014-01-23 21:30:00,1
"incendio","dispatched",2014-01-23 18:30:00,9
"incendio","dispatched",2014-01-23 18:45:00,21
"incendio","dispatched",2014-01-23 19:30:00,1
"incendio","dispatched",2014-01-23 20:30:00,1
"incendio","expanded",2014-01-23 19:15:00,7
"incendio","expanded",2014-01-23 19:45:00,3
"incendio","expansion",2014-01-23 19:15:00,16
"incendio","expansion",2014-01-23 19:30:00,2
"incendio","explosion",2014-01-23 21:30:00,16
"incendio","fighter",2014-01-23 20:00:00,1
"incendio","fire",2014-01-23 18:30:00,39
"incendio","fire",2014-01-23 18:45:00,112
"incendio","fire",2014-01-23 19:00:00,24
"incendio","fire",2014-01-23 19:15:00,63
"incendio","fire",2014-01-23 19:30:00,19
"incendio","fire",2014-01-23 19:45:00,6
"incendio","fire",2014-01-23 20:00:00,6
"incendio","fire",2014-01-23 20:15:00,4
"incendio","fire",2014-01-23 20:30:00,21
"incendio","fire",2014-01-23 20:45:00,22
"incendio","fire",2014-01-23 21:00:00,5
"incendio","fire",2014-01-23 21:15:00,28
"incendio","fire",2014-01-23 21:30:00,3
"incendio","firemen",2014-01-23 18:45:00,6
"incendio","firemen",2014-01-23 19:00:00,2
"incendio","firemen",2014-01-23 20:30:00,9
"incendio","firemen",2014-01-23 20:45:00,4
"incendio","flames",2014-01-23 18:45:00,14
"incendio","flames",2014-01-23 20:00:00,1
"incendio","flares",2014-01-23 21:00:00,5
"incendio","floor",2014-01-23 18:45:00,21
"incendio","floor",2014-01-23 19:00:00,6
"incendio","floor",2014-01-23 20:30:00,5
"incendio","floor",2014-01-23 21:00:00,5
"incendio","helping",2014-01-23 18:45:00,6
"incendio","hoses",2014-01-23 20:45:00,4
"incendio","hospital",2014-01-23 18:45:00,1
"incendio","hospital",2014-01-23 19:00:00,3
"incendio","hospital",2014-01-23 20:00:00,18
"incendio","hospital",2014-01-23 20:30:00,1
"incendio","hurt",2014-01-23 18:45:00,1
"incendio","identified",2014-01-23 18:45:00,10
"incendio","illumation",2014-01-23 18:45:00,4
"incendio","inhalation",2014-01-23 18:45:00,4
"incendio","location",2014-01-23 18:45:00,10
"incendio","medics",2014-01-23 18:30:00,1
"incendio","medics",2014-01-23 18:45:00,2
"incendio","perimeter",2014-01-23 19:15:00,7
"incendio","perimeter",2014-01-23 19:30:00,2
"incendio","police",2014-01-23 18:30:00,5
"incendio","police",2014-01-23 18:45:00,35
"incendio","police",2014-01-23 19:15:00,16
"incendio","police",2014-01-23 19:30:00,10
"incendio","police",2014-01-23 21:15:00,7
"incendio","resident",2014-01-23 18:45:00,2
"incendio","resident",2014-01-23 19:00:00,25
"incendio","risk",2014-01-23 21:15:00,6
"incendio","safe",2014-01-23 18:45:00,1
"incendio","safe",2014-01-23 20:30:00,2
"incendio","scene",2014-01-23 18:45:00,17
"incendio","scene",2014-01-23 19:00:00,2
"incendio","scene",2014-01-23 21:15:00,7
"incendio","smell",2014-01-23 18:15:00,1
"incendio","smell",2014-01-23 18:30:00,1
"incendio","smoke",2014-01-23 18:30:00,2
"incendio","smoke",2014-01-23 18:45:00,7
"incendio","smoke",2014-01-23 19:00:00,8
"incendio","street",2014-01-23 18:45:00,1
"incendio","traffic",2014-01-23 19:00:00,9
"incendio","treated",2014-01-23 18:45:00,3
"incendio","treated",2014-01-23 19:00:00,1
"incendio","treating",2014-01-23 18:45:00,4
"incendio","unit",2014-01-23 18:45:00,2
"incendio","unit",2014-01-23 19:30:00,1
"protesta","control",2014-01-23 19:15:00,8
"protesta","crowd",2014-01-23 17:00:00,2
"protesta","crowd",2014-01-23 17:15:00,1
"protesta","crowd",2014-01-23 17:30:00,1
"protesta","crowd",2014-01-23 18:45:00,3
"protesta","crowd",2014-01-23 19:00:00,8
"protesta","crowd",2014-01-23 19:15:00,8
"protesta","hit",2014-01-23 18:45:00,3
"protesta","peaceful",2014-01-23 17:15:00,15
"protesta","pok",2014-01-23 17:00:00,58
"protesta","pok",2014-01-23 17:15:00,28
"protesta","pok",2014-01-23 17:30:00,11
"protesta","pok",2014-01-23 17:45:00,4
"protesta","pok",2014-01-23 19:00:00,19
"protesta","pok",2014-01-23 19:15:00,2
"protesta","pok",2014-01-23 19:30:00,1
"protesta","police",2014-01-23 17:00:00,11
"protesta","police",2014-01-23 17:15:00,15
"protesta","police",2014-01-23 17:30:00,5
"protesta","police",2014-01-23 18:45:00,1
"protesta","police",2014-01-23 19:00:00,8
"protesta","police",2014-01-23 19:15:00,8
"protesta","rally",2014-01-23 17:00:00,44
"protesta","rally",2014-01-23 17:15:00,27
"protesta","rally",2014-01-23 17:30:00,10
"protesta","rally",2014-01-23 17:45:00,4
"protesta","rally",2014-01-23 19:00:00,16
"protesta","scene",2014-01-23 19:15:00,8
"protesta","stop",2014-01-23 17:15:00,2
"protesta","unit",2014-01-23 19:15:00,8
"protesta","violence",2014-01-23 17:00:00,11
"protesta","violence",2014-01-23 19:15:00,3
"protesta","violence",2014-01-23 19:45:00,1
"tiroteo_persecucion","accident",2014-01-23 19:15:00,2
"tiroteo_persecucion","accident",2014-01-23 19:30:00,3
"tiroteo_persecucion","ambulance",2014-01-23 19:30:00,8
"tiroteo_persecucion","ambulance",2014-01-23 19:45:00,17
"tiroteo_persecucion","apd",2014-01-23 19:30:00,5
"tiroteo_persecucion","apd",2014-01-23 19:45:00,28
"tiroteo_persecucion","apd",2014-01-23 20:00:00,16
"tiroteo_persecucion","apd",2014-01-23 20:15:00,8
"tiroteo_persecucion","apd",2014-01-23 21:15:00,1
"tiroteo_persecucion","arrested",2014-01-23 21:15:00,20
"tiroteo_persecucion","assault",2014-01-23 19:30:00,1
"tiroteo_persecucion","bike",2014-01-23 19:15:00,4
"tiroteo_persecucion","bike",2014-01-23 19:30:00,2
"tiroteo_persecucion","block",2014-01-23 19:15:00,13
"tiroteo_persecucion","block",2014-01-23 19:30:00,4
"tiroteo_persecucion","block",2014-01-23 19:45:00,2
"tiroteo_persecucion","block",2014-01-23 20:00:00,1
"tiroteo_persecucion","building",2014-01-23 19:45:00,1
